Code,Yahoo Code,Company,Sector,Market Cap,Total Shares,Last trade
SFX,SFX.AX,Sheffield Resources Limited,Materials,239624000,392826230.0,0.61
PGH,PGH.AX,Pact Group Holdings Ltd,Materials,239282000,344290647.0,0.695
SVM,SVM.AX,Sovereign Metals Limited,Materials,239276000,563002353.0,0.425
SVL,SVL.AX,Silver Mines Limited,Materials,238736000,1404329412.0,0.17
IJH,IJH.AX,iShares S&P Mid-Cap ETF,Financials,238165000,6149367.0,38.73
SFC,SFC.AX,Schaffer Corporation Limited,Consumer Discretionary,236924000,13569530.0,17.46
FFX,FFX.AX,Firefinch Limited,Materials,236569000,1182845000.0,0.2
DGL,DGL.AX,DGL Group Limited,Materials,233828000,285156098.0,0.82
ECF,ECF.AX,Elanor Commercial Property Fund,Real Estate,232669000,316556463.0,0.735
RDV,RDV.AX,Russell Investments High Dividend Australian Shares ETF,Financials,232543000,8493170.0,27.38
AGE,AGE.AX,Alligator Energy Limited,Energy,231739000,3862316667.0,0.06
AGY,AGY.AX,Argosy Minerals Limited,Materials,231727000,1448293750.0,0.16
CVL,CVL.AX,Civmec Limited,Industrials,231134000,240764583.0,0.96
WQG,WQG.AX,WCM Global Growth Limited,Financials,230248000,183464542.0,1.255
ARX,ARX.AX,Aroa Biosurgery Limited,Health Care,230106000,343441791.0,0.67
ABA,ABA.AX,Auswide Bank Ltd,Financials,229689000,46401818.0,4.95
CAJ,CAJ.AX,Capitol Health Limited,Health Care,229149000,1065809302.0,0.215
HUM,HUM.AX,Humm Group Limited,Financials,226140000,508179775.0,0.445
SXE,SXE.AX,Southern Cross Electrical Engineering Limited,Industrials,224962000,263113450.0,0.855
GLN,GLN.AX,Galan Lithium Limited,Materials,224296000,353222047.0,0.635
EX20,EX20.AX,BetaShares Australian Ex-20 Portfolio Diversifier ETF ,Financials,224200000,12112372.0,18.51
ROBO,ROBO.AX,Global X ROBO Global Robotics & Automation ETF ,Financials,223353000,3241228.0,68.91
TBN,TBN.AX,Tamboran Resources Limited,Energy,223167000,1716669231.0,0.13
BOT,BOT.AX,Botanix Pharmaceuticals Limited,Health Care,222781000,1437296774.0,0.155
QGL,QGL.AX,Quantum Graphite Limited,Materials,222664000,337369697.0,0.66
LKE,LKE.AX,Lake Resources NL,Materials,220479000,1469860000.0,0.15
PLY,PLY.AX,PlaySide Studios Limited,Communication Services,220022000,407448148.0,0.54
KSL,KSL.AX,Kina Securities Limited,Financials,219506000,286935948.0,0.765
MAY,MAY.AX,Melbana Energy Limited,Energy,219063000,3370200000.0,0.065
WXHG,WXHG.AX,SPDR S&P World ex Australia Carbon Control (Hedged) Fund ,Financials,217026000,9887289.0,21.95
SVR,SVR.AX,Solvar Limited,Financials,214187000,212066337.0,1.01
VLUE,VLUE.AX,VanEck MSCI International Value ETF ,Financials,213786000,8911463.0,23.99
NDO,NDO.AX,Nido Education Limited,Unclassified,211818000,219500518.0,0.965
GLOB,GLOB.AX,Barrow Hanley Global Share Fund (Managed Fund) ,Financials,210732000,48780556.0,4.32
GGOV,GGOV.AX,BetaShares U.S. Treasury Bond 20+ Year ETF  Currency Hedged ,Financials,209713000,15363590.0,13.65
KPG,KPG.AX,Kelly Partners Group Holdings Limited,Industrials,209250000,45000000.0,4.65
FEMX,FEMX.AX,Fidelity Global Emerging Markets Fund ,Financials,208939000,35716068.0,5.85
TWR,TWR.AX,Tower Limited,Financials,208716000,379483636.0,0.55
CDM,CDM.AX,Cadence Capital Limited,Financials,208273000,299673381.0,0.695
A2B,A2B.AX,A2B Australia Limited,Industrials,207911000,121585380.0,1.71
VLC,VLC.AX,Vanguard MSCI Australian Large Companies Index ETF,Financials,204884000,2840876.0,72.12
DRO,DRO.AX,Droneshield Limited,Industrials,204820000,611402985.0,0.335
GNP,GNP.AX,GenusPlus Group Ltd,Industrials,204384000,177725217.0,1.15
URF,URF.AX,US Masters Residential Property Fund,Real Estate,203199000,738905455.0,0.275
VDCO,VDCO.AX,Vanguard Diversified Conservative Index ETF ,Financials,201945000,4128910.0,48.91
RBTZ,RBTZ.AX,Betashares Global Robotics and Artificial Intelligence ETF ,Financials,201198000,16641687.0,12.09
WAX,WAX.AX,WAM Research Limited,Financials,200507000,202532323.0,0.99
GVF,GVF.AX,Staude Capital Global Value Fund Limited,Financials,200241000,174882969.0,1.145
ALG,ALG.AX,Ardent Leisure Group Limited,Consumer Discretionary,199078000,479706024.0,0.415
CYC,CYC.AX,Cyclopharm Limited,Health Care,199060000,93896226.0,2.12
QVE,QVE.AX,QV Equities Limited,Financials,197936000,227512644.0,0.87
BBUS,BBUS.AX,BetaShares U.S. Equities Strong Bear Hedge Fund - Currency Hedged ,Financials,197136000,25702216.0,7.67
PBP,PBP.AX,Probiotec Limited,Health Care,195989000,81323237.0,2.41
AVH,AVH.AX,"AVITA Medical, Inc.",Health Care,195570000,59990798.0,3.26
WMA,WMA.AX,WAM Alternative Assets Limited,Financials,195526000,195526000.0,1.0
TRS,TRS.AX,The Reject Shop Limited,Consumer Discretionary,195359000,38380943.0,5.09
AUT,AUT.AX,Auteco Minerals Ltd,Materials,194810000,5411388889.0,0.036
ATA,ATA.AX,Atturra Limited,Information Technology,193280000,234278788.0,0.825
ASN,ASN.AX,Anson Resources Limited,Materials,192861000,1285740000.0,0.15
WR1,WR1.AX,Winsome Resources Limited,Materials,192691000,177595392.0,1.085
PPS,PPS.AX,Praemium Limited,Information Technology,192154000,499101299.0,0.385
FUEL,FUEL.AX,BetaShares Global Energy Companies ETF - Currency Hedged ,Financials,191701000,30428730.0,6.3
VHT,VHT.AX,Volpara Health Technologies Limited,Health Care,190781000,254374667.0,0.75
TRJ,TRJ.AX,Trajan Group Holdings Limited,Health Care,190270000,152216000.0,1.25
LIN,LIN.AX,Lindian Resources Limited,Materials,190067000,1151921212.0,0.165
IXI,IXI.AX,iShares Global Consumer Staples ETF,Financials,189361000,2135570.0,88.67
FDV,FDV.AX,Frontier Digital Ventures Limited,Communication Services,188445000,433206897.0,0.435
IVZ,IVZ.AX,Invictus Energy Limited,Energy,187170000,1290827586.0,0.145
ENN,ENN.AX,Elanor Investors Group,Consumer Discretionary,187032000,152058537.0,1.23
BRL,BRL.AX,Bathurst Resources Limited,Materials,186576000,191360000.0,0.975
AMI,AMI.AX,Aurelia Metals Limited,Materials,185874000,1689763636.0,0.11
WOT,WOT.AX,WOTSO Property,Real Estate,185676000,162873684.0,1.14
CYL,CYL.AX,Catalyst Metals Limited,Materials,184932000,220157143.0,0.84
HVST,HVST.AX,BetaShares Australian Dividend Harvester Fund (managed fund) ,Financials,184523000,15493115.0,11.91
VEQ,VEQ.AX,Vanguard FTSE Europe Shares ETF,Financials,183780000,2776552.0,66.19
WAR,WAR.AX,WAM Strategic Value Limited,Financials,183728000,180125490.0,1.02
EBR,EBR.AX,EBR Systems Inc.,Health Care,183723000,301185246.0,0.61
ATEC,ATEC.AX,BetaShares S&P/ASX Australian Technology ETF ,Financials,182705000,9641425.0,18.95
QRE,QRE.AX,BetaShares Australian Resources Sector ETF,Financials,182511000,23519459.0,7.76
AEE,AEE.AX,Aura Energy Limited,Energy,182406000,579066667.0,0.315
VIT,VIT.AX,Vitura Health Limited,Health Care,181400000,575873016.0,0.315
FEX,FEX.AX,Fenix Resources Ltd,Materials,180482000,694161538.0,0.26
NPR,NPR.AX,Newmark Property REIT,Real Estate,179832000,181648485.0,0.99
BRI,BRI.AX,Big River Industries Limited,Materials,179634000,83550698.0,2.15
FRI,FRI.AX,Finbar Group Limited,Real Estate,179601000,272122727.0,0.66
LGI,LGI.AX,LGI Limited,Utilities,179236000,88293596.0,2.03
SLA,SLA.AX,SILK Laser Australia Limited,Health Care,177425000,53121257.0,3.34
NTU,NTU.AX,Northern Minerals Limited,Materials,177329000,5910966667.0,0.03
WGN,WGN.AX,Wagners Holding Company Limited,Materials,177300000,187619048.0,0.945
MVE,MVE.AX,Vaneck Vectors S&P/ASX Midcap ETF,Financials,176320000,5157063.0,34.19
BTI,BTI.AX,Bailador Technology Investments Limited,Financials,176304000,145705785.0,1.21
CII,CII.AX,CI Resources Limited,Materials,175105000,115580858.0,1.515
FID,FID.AX,Fiducian Group Limited,Financials,172497000,31477555.0,5.48
COI,COI.AX,Comet Ridge Limited,Energy,171763000,981502857.0,0.175
MAET,MAET.AX,Munro Global Growth Fund ,Financials,171751000,34419038.0,4.99
CLG,CLG.AX,Close the Loop Limited,Industrials,171505000,519712121.0,0.33
RCT,RCT.AX,Reef Casino Trust,Consumer Discretionary,170242000,49061095.0,3.47
MVB,MVB.AX,Vaneck Vectors Australian Banks ETF,Financials,168946000,5809697.0,29.08
DSE,DSE.AX,Dropsuite Limited,Information Technology,167062000,703418947.0,0.2375
IR1,IR1.AX,Iris Metals Limited,Materials,165759000,121435165.0,1.365
MSTR,MSTR.AX,Morningstar International Shares Active ETF (Managed Fund) ,Financials,165750000,19117647.0,8.67
ESGI,ESGI.AX,VanEck MSCI International Sustainable Equity ETF ,Financials,165671000,5330470.0,31.08
HE8,HE8.AX,Helios Energy Limited,Energy,164055000,2604047619.0,0.063
4DS,4DS.AX,4DS Memory Limited,Information Technology,162618000,1748580645.0,0.093
SPY,SPY.AX,SPDR S&P 500 ETF Trust,Financials,160457000,230907.0,694.9
GDC,GDC.AX,Global Data Centre Group,Financials,159182000,77272816.0,2.06
ANG,ANG.AX,Austin Engineering Ltd,Industrials,158329000,586403704.0,0.27
BKY,BKY.AX,Berkeley Energia Limited,Energy,158258000,445797183.0,0.355
IOD,IOD.AX,IODM Limited,Information Technology,158117000,596667925.0,0.265
PLL,PLL.AX,Piedmont Lithium Limited,Materials,158084000,367637209.0,0.43
RAC,RAC.AX,Race Oncology Limited,Health Care,157361000,163068394.0,0.965
ENR,ENR.AX,Encounter Resources Limited,Materials,156878000,402251282.0,0.39
ZER,ZER.AX,Zeta Resources Limited,Materials,156526000,530596610.0,0.295
EOS,EOS.AX,Electro Optic Systems Holdings Limited,Industrials,155825000,171236264.0,0.91
STP,STP.AX,Step One Clothing Limited,Consumer Discretionary,155686000,185340476.0,0.84
CAA,CAA.AX,Capral Limited,Materials,155257000,17907382.0,8.67
A1M,A1M.AX,AIC Mines Limited,Materials,154928000,462471642.0,0.335
AOF,AOF.AX,Australian Unity Office Fund,Real Estate,154520000,164382979.0,0.94
BOC,BOC.AX,Bougainville Copper Limited,Materials,154409000,401062338.0,0.385
DRUG,DRUG.AX,BetaShares Global Healthcare ETF - Currency Hedged ,Financials,154133000,20043303.0,7.69
CHL,CHL.AX,Camplify Holdings Limited,Industrials,153726000,71500465.0,2.15
XRF,XRF.AX,XRF Scientific Limited,Industrials,153226000,138041441.0,1.11
RGB,RGB.AX,Russell Investments Australian Government Bond ETF,Financials,152295000,8386289.0,18.16
SBM,SBM.AX,St Barbara Limited,Materials,151325000,817972973.0,0.185
UMAX,UMAX.AX,BetaShares S&P 500 Yield Maximiser Fund (managed fund) ,Financials,151260000,7061625.0,21.42
IKO,IKO.AX,iShares MSCI South Korea Capped ETF,Financials,151113000,1565289.0,96.54
DNK,DNK.AX,Danakali Limited,Materials,151017000,368334146.0,0.41
NXD,NXD.AX,NextEd Group Limited,Consumer Discretionary,150631000,221516176.0,0.68
OZR,OZR.AX,SPDR S&P/ASX 200 Resources Fund,Financials,149648000,11035988.0,13.56
AZL,AZL.AX,Arizona Lithium Limited,Materials,149345000,3318777778.0,0.045
LM8,LM8.AX,Lunnon Metals Limited,Materials,148684000,217056934.0,0.685
PPE,PPE.AX,Peoplein Limited,Industrials,148176000,103619580.0,1.43
NZM,NZM.AX,NZME Limited,Communication Services,148050000,183913043.0,0.805
NOL,NOL.AX,NobleOak Life Limited,Financials,147719000,86385380.0,1.71
MTO,MTO.AX,MotorCycle Holdings Limited,Consumer Discretionary,147244000,73806516.0,1.995
WAT,WAT.AX,Waterco Limited,Consumer Discretionary,147023000,35172967.0,4.18
COS,COS.AX,COSOL Limited,Information Technology,146932000,174919048.0,0.84
WDMF,WDMF.AX,iShares Edge MSCI World Multifactor ETF ,Financials,146921000,3832055.0,38.34
PSQ,PSQ.AX,Pacific Smiles Group Limited,Health Care,146815000,159581522.0,0.92
EGG,EGG.AX,Enero Group Limited,Communication Services,145689000,91628302.0,1.59
VCF,VCF.AX,Vanguard International Credit Securities Index (Hedged) ETF,Financials,145123000,3902205.0,37.19
EZL,EZL.AX,Euroz Hartleys Group Limited,Financials,145044000,164822727.0,0.88
GRNV,GRNV.AX,VanEck MSCI Australian Sustainable Equity ETF ,Financials,144842000,5465736.0,26.5
TSK,TSK.AX,TASK Group Holdings Limited,Information Technology,144256000,356187654.0,0.405
M7T,M7T.AX,Mach7 Technologies Limited,Health Care,143509000,241191597.0,0.595
FWD,FWD.AX,Fleetwood Limited,Consumer Discretionary,142841000,94284488.0,1.515
RDN,RDN.AX,Raiden Resources Limited,Materials,142118000,2631814815.0,0.054
TBR,TBR.AX,Tribune Resources Ltd,Materials,141664000,52468148.0,2.7
IESG,IESG.AX,iShares Core MSCI Australia ESG Leaders ETF ,Financials,141542000,5610067.0,25.23
BSE,BSE.AX,Base Resources Limited,Materials,141361000,1178008333.0,0.12
EBND,EBND.AX,VanEck Emerging Income Opportunities Active ETF (Managed Fund) ,Financials,141255000,14196482.0,9.95
EXP,EXP.AX,Experience Co Limited,Consumer Discretionary,140130000,757459459.0,0.185
AVJ,AVJ.AX,AVJennings Limited,Consumer Discretionary,139568000,558272000.0,0.25
OOO,OOO.AX,BetaShares Crude Oil Index ETF-Currency Hedged Synthetic,Financials,139508000,25091367.0,5.56
ERTH,ERTH.AX,BetaShares Climate Change Innovation ETF ,Financials,139405000,15751977.0,8.85
STA,STA.AX,Strandline Resources Limited,Materials,138944000,1462568421.0,0.095
SLH,SLH.AX,Silk Logistics Holdings Limited,Industrials,137333000,81503264.0,1.685
HFR,HFR.AX,Highfield Resources Limited,Materials,137264000,392182857.0,0.35
MXI,MXI.AX,MaxiPARTS Limited,Industrials,137052000,55040964.0,2.49
PCL,PCL.AX,Pancontinental Energy NL,Energy,137024000,8060235294.0,0.017
AMA,AMA.AX,AMA Group Limited,Industrials,136467000,1772298701.0,0.077
IHHY,IHHY.AX,iShares Global High Yield Bond (AUD Hedged) ETF ,Financials,135388000,1507494.0,89.81
ICOR,ICOR.AX,iShares Core Corporate Bond ETF ,Financials,135180000,1471427.0,91.87
CLV,CLV.AX,Clover Corporation Limited,Materials,134852000,166999381.0,0.8075
EL8,EL8.AX,Elevate Uranium Limited,Energy,134764000,277863918.0,0.485
ETPMAG,ETPMAG.AX,Global X Physical Silver (A,Financials,134585000,4006698.0,33.59
SHA,SHA.AX,SHAPE Australia Corporation Limited,Industrials,134418000,83489441.0,1.61
ONE,ONE.AX,Oneview Healthcare Plc,Health Care,133465000,667325000.0,0.2
AND,AND.AX,Ansarada Group Limited,Information Technology,133114000,89338255.0,1.49
SSG,SSG.AX,Shaver Shop Group Limited,Consumer Discretionary,132978000,131012808.0,1.015
RDG,RDG.AX,Resource Development Group Limited,Industrials,132715000,2885108696.0,0.046
88E,88E.AX,88 Energy Limited,Energy,132712000,22118666667.0,0.006
RFG,RFG.AX,Retail Food Group Limited,Consumer Discretionary,132603000,2455611111.0,0.054
SMI,SMI.AX,Santana Minerals,Materials,132484000,177830872.0,0.745
QIP,QIP.AX,Qantm Intellectual Property Limited,Industrials,132316000,140016931.0,0.945
PEN,PEN.AX,Peninsula Energy Limited,Energy,132069000,1257800000.0,0.105
HGO,HGO.AX,Hillgrove Resources Limited,Materials,131926000,1911971014.0,0.069
ATG,ATG.AX,Articore Group Limited,Consumer Discretionary,131465000,282720430.0,0.465
LIS,LIS.AX,Li-S Energy Limited,Industrials,131241000,640200000.0,0.205
HZR,HZR.AX,Hazer Group Limited,Materials,130709000,201090769.0,0.65
X64,X64.AX,Ten Sixty Four Limited,Materials,130184000,228392982.0,0.57
EGH,EGH.AX,Eureka Group Holdings Limited,Real Estate,129751000,301746512.0,0.43
TPD,TPD.AX,Talon Energy Ltd,Energy,129400000,647000000.0,0.2
TGP,TGP.AX,360 Capital Group,Financials,129335000,241747664.0,0.535
HCH,HCH.AX,Hot Chili Limited,Materials,128404000,119445581.0,1.075
EMMG,EMMG.AX,BetaShares Martin Currie Emerging Markets Fund (managed fund) ,Financials,127567000,22698754.0,5.62
EP1,EP1.AX,E&P Financial Group Limited,Financials,127159000,237680374.0,0.535
VVA,VVA.AX,Viva Leisure Limited,Consumer Discretionary,126852000,90286121.0,1.405
FOR,FOR.AX,Forager Australian Shares Fund,Financials,126811000,99851181.0,1.27
KIL,KIL.AX,Kiland Limited,Materials,125791000,71880571.0,1.75
TVN,TVN.AX,Tivan Limited,Materials,125773000,1572162500.0,0.08
ERD,ERD.AX,EROAD Limited,Information Technology,125621000,184736765.0,0.68
CCV,CCV.AX,Cash Converters International Limited,Financials,125509000,627545000.0,0.2
PAR,PAR.AX,Paradigm Biopharmaceuticals Limited,Health Care,125284000,329694737.0,0.38
GLB,GLB.AX,Globe International Limited,Consumer Discretionary,124391000,41463667.0,3.0
SPZ,SPZ.AX,Smart Parking Ltd,Information Technology,124375000,350352113.0,0.355
BGBL,BGBL.AX,Betashares Global Shares ETF ,Financials,124067000,2225018.0,55.76
ISO,ISO.AX,iShares S&P/ASX Small Ordinaries ETF,Financials,123168000,29750725.0,4.14
TGF,TGF.AX,Tribeca Global Natural Resources Limited,Financials,122915000,78791667.0,1.56
ATC,ATC.AX,Altech Batteries Ltd,Materials,122346000,1653324324.0,0.074
SEMI,SEMI.AX,Global X Semiconductor ETF ,Financials,122341000,9763847.0,12.53
SHJ,SHJ.AX,Shine Justice Ltd,Consumer Discretionary,122150000,173262411.0,0.705
VEE,VEE.AX,Veem Limited,Industrials,122148000,135720000.0,0.9
CRD,CRD.AX,Conrad Asia Energy Ltd,Energy,121779000,98208871.0,1.24
EMV,EMV.AX,Emvision Medical Devices Limited,Health Care,121613000,77957051.0,1.56
WIRE,WIRE.AX,Global X Copper Miners ETF ,Financials,121449000,11425118.0,10.63
EOL,EOL.AX,Energy One Limited,Information Technology,120164000,30041000.0,4.0
FSA,FSA.AX,FSA Group Limited,Financials,120132000,121345455.0,0.99
GOW,GOW.AX,Gowing Brothers Limited,Financials,119838000,53261333.0,2.25
CYG,CYG.AX,Coventry Group Ltd,Industrials,119178000,95342400.0,1.25
CPV,CPV.AX,ClearVue Technologies Limited,Industrials,119091000,229021154.0,0.52
JRV,JRV.AX,Jervois Global Limited,Materials,118911000,2702522727.0,0.044
CLX,CLX.AX,CTI Logistics Limited,Industrials,118829000,79751007.0,1.49
PGC,PGC.AX,Paragon Care Limited,Health Care,116877000,667868571.0,0.175
EEG,EEG.AX,Empire Energy Group Limited,Energy,115968000,773120000.0,0.15
CAM,CAM.AX,Clime Capital Limited,Financials,115182000,145800000.0,0.79
MCA,MCA.AX,Murray Cod Australia Limited,Consumer Staples,114863000,765753333.0,0.15
CNEW,CNEW.AX,VanEck China New Economy ETF ,Financials,114717000,16845374.0,6.81
NWF,NWF.AX,Newfield Resources Limited,Materials,114666000,882046154.0,0.13
NMT,NMT.AX,Neometals Limited,Materials,113428000,504124444.0,0.225
OZF,OZF.AX,SPDR S&P/ASX 200 Financials EX A-REIT Fund,Financials,113345000,5397381.0,21.0
PCG,PCG.AX,Pengana Capital Group,Financials,112801000,110589216.0,1.02
DEV,DEV.AX,DevEx Resources Limited,Materials,112504000,441192157.0,0.255
MDR,MDR.AX,MedAdvisor Limited,Health Care,112121000,546931707.0,0.205
LMG,LMG.AX,Latrobe Magnesium Limited,Materials,111402000,1856700000.0,0.06
FOOD,FOOD.AX,BetaShares Global Agriculture Companies ETF - Currency Hedged ,Financials,110762000,16884451.0,6.56
PIQ,PIQ.AX,Proteomics International Laboratories Ltd,Health Care,110713000,118409626.0,0.935
QPM,QPM.AX,Queensland Pacific Metals Limited,Materials,110690000,2012545455.0,0.055
DRE,DRE.AX,Dreadnought Resources Limited,Materials,110622000,3456937500.0,0.032
CLB,CLB.AX,Candy Club Holdings Limited,Consumer Staples,110400000,100000000.0,1.104
EUR,EUR.AX,European Lithium Limited,Materials,110145000,1394240506.0,0.079
AVL,AVL.AX,Australian Vanadium Limited,Materials,109309000,4968590909.0,0.022
BTH,BTH.AX,Bigtincan Holdings Limited,Information Technology,109306000,607255556.0,0.18
LCY,LCY.AX,Legacy Iron Ore Limited,Materials,108916000,6406823529.0,0.017
USD,USD.AX,BetaShares U.S. Dollar ETF,Financials,108588000,7307402.0,14.86
MHG,MHG.AX,Magellan Global Equities Fund (Currency Hedged),Financials,108550000,32402985.0,3.35
RHK,RHK.AX,Red Hawk Mining Limited,Materials,108063000,168848438.0,0.64
KKO,KKO.AX,Kinetiko Energy Ltd,Energy,107861000,1348262500.0,0.08
ARA,ARA.AX,Ariadne Australia Limited,Industrials,107783000,195969091.0,0.55
BYE,BYE.AX,Byron Energy Limited,Energy,107058000,1081393939.0,0.099
COB,COB.AX,Cobalt Blue Holdings Limited,Materials,106984000,375382456.0,0.285
CD3,CD3.AX,Cordish Dixon Private Equity Fund III,Financials,106962000,72028283.0,1.485
EVO,EVO.AX,Embark Early Education Limited,Consumer Discretionary,106898000,159549254.0,0.67
CKA,CKA.AX,Cokal Limited,Materials,106816000,1078949495.0,0.099
CAI,CAI.AX,Calidus Resources Limited,Materials,106791000,610234286.0,0.175
IIGF,IIGF.AX,Intelligent Investor Australian Equity Growth Fund ,Financials,106361000,39835581.0,2.67
SEC,SEC.AX,Spheria Emerging Companies Limited,Financials,106166000,60150708.0,1.765
BIS,BIS.AX,Bisalloy Steel Group Limited,Materials,105862000,47685586.0,2.22
NZK,NZK.AX,New Zealand King Salmon Investments,Consumer Staples,105584000,541456410.0,0.195
BKT,BKT.AX,Black Rock Mining Limited,Materials,105343000,1097322917.0,0.096
BCN,BCN.AX,Beacon Minerals Limited,Materials,105190000,3756785714.0,0.028
5EA,5EA.AX,"5E Advanced Materials, Inc",Materials,104889000,304026087.0,0.345
RWL,RWL.AX,Rubicon Water Limited,Information Technology,104850000,171885246.0,0.61
VYS,VYS.AX,Vysarn Limited,Materials,104199000,408623529.0,0.255
AIS,AIS.AX,Aeris Resources Limited,Materials,104175000,694500000.0,0.15
PAN,PAN.AX,Panoramic Resources Limited,Materials,103938000,2969657143.0,0.035
AVG,AVG.AX,Australian Vintage Limited,Consumer Staples,103582000,252639024.0,0.41
GT1,GT1.AX,Green Technology Metals Limited,Materials,103555000,272513158.0,0.38
GLIN,GLIN.AX,AMP Cap Global Infrastructure Securities Fund ,Financials,103488000,4400000.0,23.52
PEK,PEK.AX,Peak Rare Earths Limited,Materials,103210000,264641026.0,0.39
FDEM,FDEM.AX,Fidelity Global Demographics Fund (Managed Fund) ,Financials,102629000,3850994.0,26.65
CNB,CNB.AX,Carnaby Resources Limited,Materials,102593000,162846032.0,0.63
AXE,AXE.AX,Archer Materials Limited,Information Technology,101939000,258073418.0,0.395
RXM,RXM.AX,Rex Minerals Ltd,Materials,101918000,636987500.0,0.16
BUB,BUB.AX,Bubs Australia Limited,Consumer Staples,101672000,753125926.0,0.135
SND,SND.AX,Saunders International Limited,Industrials,100962000,109741304.0,0.92
E25,E25.AX,Element 25 Limited,Materials,100064000,217530435.0,0.46
CVV,CVV.AX,Caravel Minerals,Materials,99613200,524280000.0,0.19
EQR,EQR.AX,EQ Resources Limited,Materials,99212800,1574806349.0,0.063
HAS,HAS.AX,Hastings Technology Metals Limited,Materials,98965500,129366667.0,0.765
HNG,HNG.AX,Hancock & Gore Ltd,Industrials,98753600,240862439.0,0.41
LBL,LBL.AX,Laserbond Limited,Industrials,98678200,110254972.0,0.895
EXR,EXR.AX,Elixir Energy Limited,Energy,98252100,1056474194.0,0.093
MDX,MDX.AX,Mindax Limited,Materials,98186800,2045558333.0,0.048
IMR,IMR.AX,"Imricor Medical Systems, Inc.",Health Care,97972500,173402655.0,0.565
LRK,LRK.AX,Lark Distilling Co. Ltd,Consumer Staples,97694900,75440077.0,1.295
ALC,ALC.AX,Alcidion Group Limited,Health Care,97632600,1337432877.0,0.073
REX,REX.AX,Regional Express Holdings Limited,Industrials,97366100,113216395.0,0.86
NTD,NTD.AX,National Tyre & Wheel Limited,Consumer Discretionary,96910700,133669931.0,0.725
ESTX,ESTX.AX,Global X EURO STOXX 50 ETF ,Financials,95888900,1175109.0,81.6
TGM,TGM.AX,Theta Gold Mines Limited,Materials,95320100,706074815.0,0.135
FHE,FHE.AX,Frontier Energy Limited,Materials,95273400,257495676.0,0.37
WKT,WKT.AX,Walkabout Resources Limited,Materials,95264600,680461429.0,0.14
FLN,FLN.AX,Freelancer Limited,Industrials,94692100,450914762.0,0.21
MKT,MKT.AX,The Market Limited,Communication Services,94686900,320972542.0,0.295
ACE,ACE.AX,Acusensus Limited,Information Technology,94612500,126150000.0,0.75
SDI,SDI.AX,SDI Limited,Health Care,94498100,118865535.0,0.795
APX,APX.AX,Appen Limited,Information Technology,94153000,156921667.0,0.6
VHM,VHM.AX,VHM Limited,Materials,93888800,153916066.0,0.61
HPG,HPG.AX,Hipages Group Holdings Limited,Communication Services,93223300,133176143.0,0.7
BLG,BLG.AX,BluGlass Limited,Information Technology,93210800,1528045902.0,0.061
EGN,EGN.AX,Engenco Limited,Industrials,93159100,315793559.0,0.295
ORN,ORN.AX,Orion Minerals Limited,Materials,93120600,5820037500.0,0.016
VLS,VLS.AX,Vita Life Sciences,Health Care,93012200,53920116.0,1.725
NWC,NWC.AX,New World Resources Limited,Materials,92731400,2261741463.0,0.041
BBL,BBL.AX,Brisbane Broncos Limited,Communication Services,92648400,98040635.0,0.945
PH2DD,PH2DD.AX,ASX:PH2DD (,Energy,92374300,342127037.0,0.27
CLNE,CLNE.AX,VanEck Global Clean Energy ETF ,Financials,92122100,13627530.0,6.76
XAM,XAM.AX,Xanadu Mines Ltd,Materials,91844300,1700820370.0,0.054
HJPN,HJPN.AX,BetaShares Japan ETF - Currency Hedged ,Financials,91753000,5231072.0,17.54
ISLM,ISLM.AX,Hejaz Equities Fund (Managed Fund) ,Financials,91570700,97936578.0,0.935
KOV,KOV.AX,Korvest Ltd,Industrials,91490500,11654841.0,7.85
GTN,GTN.AX,GTN Limited,Communication Services,90845400,201878667.0,0.45
TPC,TPC.AX,TPC Consolidated Limited,Utilities,90742900,11342862.0,8.0
AESG,AESG.AX,iShares Global Aggregate Bond ESG (AUD Hedged) ETF ,Financials,90526800,965002.0,93.81
NSC,NSC.AX,NAOS Small Cap Opportunities Company,Financials,90243500,135704511.0,0.665
BIT,BIT.AX,Biotron Limited,Health Care,90226900,902269000.0,0.1
SNC,SNC.AX,Sandon Capital Investments Limited,Financials,90218900,140967031.0,0.64
SMN,SMN.AX,Structural Monitoring Systems Plc,Information Technology,90093400,136505152.0,0.66
TWD,TWD.AX,Tamawood Limited,Consumer Discretionary,89836100,35508340.0,2.53
TOP,TOP.AX,Thorney Opportunities Limited,Real Estate,89748300,188943789.0,0.475
SXG,SXG.AX,Southern Cross Gold Ltd,Materials,89605300,90055578.0,0.995
PPK,PPK.AX,PPK Group Limited,Materials,88842800,89289246.0,0.995
RCE,RCE.AX,Recce Pharmaceuticals Limited,Health Care,88501600,203451954.0,0.435
CEL,CEL.AX,Challenger Gold Limited,Materials,88169600,1259565714.0,0.07
ABY,ABY.AX,Adore Beauty Group Limited,Consumer Discretionary,87803400,93907380.0,0.935
EGL,EGL.AX,The Environmental Group Limited,Industrials,87757700,373437021.0,0.235
ARL,ARL.AX,Ardea Resources Limited,Materials,87597900,194662000.0,0.45
MMI,MMI.AX,Metro Mining Limited,Materials,87305200,4365260000.0,0.02
VMM,VMM.AX,Viridis Mining and Minerals Limited,Materials,87128700,44911701.0,1.94
